21126001,Duong Dinh Hoang,9,9,9,9
21126002,Pham Hoai Huy,9,9,9,9
21126003,To Quach Ha,9,9,9,9
21126004,Ngo Son,9,9,9,9
21126005,Huynh Van Nam,9,9,9,9
21126006,Quach Tuan Nam,9,9,9,9
21126007,Ho Quy Trung,9,9,9,9
21126008,Vu Ngoc Ha,9,9,9,9
21126009,Hua Vinh Khanh,9,9,9,9
21126010,Dinh Uyeng Hanh,9,9,9,9
21126011,To Huynh Van,9,9,9,9
21126012,Phung Van Hoang,9,9,9,9
21126013,Pham Hoai Vinh,9,9,9,9
21126014,Hoang Chau Diem,9,9,9,9
21126015,Chau Thanh Cam,9,9,9,9
21126016,Le Tuan Phong,9,9,9,9
21126017,Truong Ngoc Linh,9,9,9,9
21126018,Chau Thanh Dat,9,9,9,9
21126019,Tu Quang Vinh,9,9,9,9
21126020,Dinh Van Huy,9,9,9,9
21126021,Duong Dinh Thanh,9,9,9,9
21126022,Dinh Uyeng Tuyet,9,9,9,9
21126023,Luu Ngoc Ly,9,9,9,9
21126024,Duong Tran Yen,9,9,9,9
