21127001,Ngo Vu,9,9,9,9
21127002,Cao Vu Nghia,9,9,9,9
21127003,Chau Thanh Tuan,9,9,9,9
21127004,Truong Thanh Thanh,9,9,9,9
21127005,Huynh Thi Nhi,9,9,9,9
21127006,Chau Thanh Binh,9,9,9,9
21127007,Thai My Lam,9,9,9,9
21127008,Phung Thi Tuyet,9,9,9,9
21127009,Ha Ho Cam,9,9,9,9
21127010,Doan Thanh Dung,9,9,9,9
21127011,Ha Giang Ha,9,9,9,9
21127012,Dao Anh Van,9,9,9,9
21127013,Vu Ngoc Trang,9,9,9,9
21127014,Hoang Minh Quan,9,9,9,9
21127015,Ho Quy Long,9,9,9,9
21127016,Trinh Thanh Long,9,9,9,9
21127017,Chau Thanh Tuyet,9,9,9,9
21127018,Mai Thua Kien,9,9,9,9
21127019,Thai Tran Lan,9,9,9,9
21127020,Duong Tran Trang,9,9,9,9
21127021,Lam My Dao,9,9,9,9
21127022,Ha Van Vinh,9,9,9,9
21127023,Chau Thanh Tuan,9,9,9,9
21127024,Lam My Mai,9,9,9,9,9,9,9,9
