21125001,Cao Anh Trang,9,9,9,9
21125002,Tran Thi Huong,9,9,9,9
21125003,Vo Cao Phong,9,9,9,9
21125004,Tran Thi Mai,9,9,9,9
21125005,Trinh Thanh Tuan,9,9,9,9
21125006,Trinh Thanh Dat,9,9,9,9
21125007,Doan Thanh Thien,9,9,9,9
21125008,Vo Thi Uyen,9,9,9,9
21125009,Duong Dinh Vu,9,9,9,9
21125010,Duong Dinh Dat,9,9,9,9
21125011,Hua Vinh Tung,9,9,9,9
21125012,Tu Quang Minh,9,9,9,9
21125013,Le Tuan Son,9,9,9,9
21125014,Vu Tuan Huy,9,9,9,9
21125015,Do Hung Tuan,9,9,9,9
21125016,Tu Quang Tung,9,9,9,9
21125017,Dang Kieu Trang,9,9,9,9
21125018,Dinh Uyeng Van,9,9,9,9
21125019,Cao Anh Bich,9,9,9,9
21125020,Lam Vu Binh,9,9,9,9
21125021,Hoang Minh Tung,9,9,9,9
21125022,Luong Gia Van,9,9,9,9
21125023,Phung Thi Hien,9,9,9,9
21125024,Ha Ho Huong,9,9,9,9
