19125001,Ly Van,Phong,2/8/2001,Nam,159862
19125002,Dinh Uyeng,Quynh,21/9/2001,Nu,465092
19125003,Doan Thanh,Dung,22/8/2001,Nam,593460
19125004,Ha Thi,Lan,24/5/2001,Nu,621547
19125005,Chau Thanh,Khanh,3/6/2001,Nu,270159
19125006,Vu Ngoc,Oanh,17/5/2001,Nu,282705
19125007,Vo Thi,Lan,15/3/2001,Nu,385102
19125008,Pham Kieu,Oanh,25/4/2001,Nu,107709
19125009,Doan Thanh,Truong,26/5/2001,Nam,944055
19125010,Ho Xuan,Quynh,18/1/2001,Nu,564211
19125011,Mai Huyng,Trang,17/2/2001,Nu,587773
19125012,Hoang Chau,Hoai,29/5/2001,Nu,296973
19125013,To Quach,Hung,27/1/2001,Nam,205160
19125014,Luu Ngoc,Tuyet,10/8/2001,Nu,300860
19125015,Ha Thi,Trang,12/10/2001,Nu,793198
19125016,Tu Tu,Diem,11/9/2001,Nu,949739
19125017,Luu Quang,Vu,17/9/2001,Nam,553396
19125018,To Huynh,Huong,12/8/2001,Nu,827142
19125019,Trinh Thanh,Khanh,30/8/2001,Nam,753242
19125020,Cao Vu,Thanh,3/2/2001,Nam,659217
19125021,Dao Anh,Hue,7/9/2001,Nu,820394
19125022,Nguyen Van,Tuan,17/9/2001,Nam,410496
19125023,Tu Quang,Dat,22/11/2001,Nam,144024
19125024,Ho Quy,Hung,14/7/2001,Nam,666040
19125025,Vu Tuan,Son,11/1/2001,Nam,409007
19125026,Thai My,Trung,27/4/2001,Nam,345444
19125027,Do Thi My,Hanh,16/1/2001,Nu,396537
19125028,Ha Ho,Mai,12/1/2001,Nu,892397
19125029,To Huynh,Van,29/7/2001,Nu,458559
19125030,Thai My,Nghia,10/1/2001,Nam,702072
