18126001,Nguyen Van,Thanh,25/2/2000,Nam,792047
18126002,Luong Gia,Bich,27/1/2000,Nu,568831
18126003,Hoang Chau,Huong,13/5/2000,Nu,873809
18126004,Vu Tuan,An,25/4/2000,Nam,262338
18126005,Ngo,Minh,1/5/2000,Nam,232507
18126006,Dinh Van,Son,2/5/2000,Nam,811076
18126007,Duong Dinh,Binh,24/4/2000,Nam,482862
18126008,Luong Khuc,Quan,20/2/2000,Nam,841476
18126009,Do Thi My,Quynh,22/2/2000,Nu,886528
18126010,Trinh Vy,Yen,11/8/2000,Nu,109855
18126011,Cao Anh,Thuy,6/6/2000,Nu,874232
18126012,Tran Thi,Anh,1/10/2000,Nu,818599
18126013,Duong Dinh,Trung,5/3/2000,Nam,805342
18126014,Bui Xuan,Quan,20/10/2000,Nam,534377
18126015,Pham Hoai,Minh,19/11/2000,Nam,520300
18126016,Mai Huyng,Huong,24/6/2000,Nu,803360
18126017,Do Thi My,Uyen,22/4/2000,Nu,742954
18126018,Mai Thua,Quan,15/6/2000,Nam,256572
18126019,Dao Cao,Hoang,4/8/2000,Nam,174064
18126020,Dao Cao,Trung,16/5/2000,Nam,779584
18126021,Truong Thanh,Trung,26/8/2000,Nam,194279
18126022,Nguyen Van,Kien,3/5/2000,Nam,344590
18126023,Truong Ngoc,Huong,28/10/2000,Nu,836484
18126024,Dinh Van,Nam,9/8/2000,Nam,884641
18126025,Quach Ngoc,My,28/4/2000,Nu,259375
18126026,Tran Minh,Binh,2/2/2000,Nam,332935
18126027,Duong Tran,Cam,5/9/2000,Nu,385138
18126028,Nguyen Van,Ha,20/5/2000,Nam,416767
18126029,Quach Ngoc,Van,12/9/2000,Nu,247042
18126030,Do Hung,Vu,26/5/2000,Nam,514033
