19120004,Cao Vu,Huy,27/8/2001,Nam,200840
19120005,Do Thi My,My,21/8/2001,Nu,235091
19120006,Ngo Cao Ngoc,Dao,23/7/2001,Nu,424427
19120007,Ly Van,Vu,12/12/2001,Nam,349060
19120008,Phung Thi,Anh,29/10/2001,Nu,492373
19120009,Lam Vu,Tien,16/9/2001,Nam,732184
19120010,Luong Gia,Mai,11/4/2001,Nu,646525
19120011,Le Tuan,Tung,4/7/2001,Nam,394193
19120012,Cao Anh,Hanh,29/11/2001,Nu,613839
19120013,Ho Quy,Vinh,3/3/2001,Nam,625656
19120014,Duong Tran,Oanh,4/8/2001,Nu,211803
19120015,Phung Van,An,18/4/2001,Nam,647014
19120016,Ha Giang,Kien,5/1/2001,Nam,652365
19120017,Vo Thi,Oanh,14/4/2001,Nu,807444
19120018,Thai Tran,Bich,13/3/2001,Nu,975992
19120019,Bui Xuan,Hien,10/11/2001,Nu,910630
19120020,Tu Quang,Tuan,16/10/2001,Nam,526203
19120021,Ha Van,Dat,12/11/2001,Nam,994634
19120022,Mai Huyng,Trang,2/4/2001,Nu,915527
19120023,Tran Minh,Thien,7/9/2001,Nam,361887
19120024,Luu Ngoc,Linh,25/9/2001,Nu,440953
19120025,Chau Thanh,Nhi,2/7/2001,Nu,917390
19120026,Ngo Cao Ngoc,Anh,8/6/2001,Nu,928770
19120027,Doan Thanh,Truong,10/8/2001,Nam,997551
19120028,Vu Ngoc,Hoai,22/11/2001,Nu,246287
19120029,Tu Quang,An,29/11/2001,Nam,778061
